Date : 2020-05-27 10:36:05
Directory : c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app
Total : 104 files,  5884 codes, 133 comments, 1070 blanks, all 7087 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\forgetpass\forgetpass.component.scss     | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\forgetpass\forgetpass.component.spec.ts  | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\forgetpass\forgetpass.component.ts       | TypeScript |         46 |          1 |          8 |         55 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\login\LoginForm.ts                       | TypeScript |          5 |          0 |          0 |          5 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\login\TokenParams.ts                     | TypeScript |          4 |          0 |          0 |          4 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\login\login.component.html               | HTML       |         33 |          0 |          3 |         36 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\login\login.component.scss               | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\login\login.component.spec.ts            | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\login\login.component.ts                 | TypeScript |        107 |          6 |         13 |        126 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\register\RegisterForm.ts                 | TypeScript |          8 |          0 |          0 |          8 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\register\register.component.html         | HTML       |         47 |          0 |         10 |         57 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\register\register.component.scss         | SCSS       |          5 |          4 |          0 |          9 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\register\register.component.spec.ts      | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\register\register.component.ts           | TypeScript |         73 |          2 |         13 |         88 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\user.component.html                      | HTML       |         23 |          0 |         15 |         38 |
| c:\Users\Aurimas\Desktop\Bakalauras\TMSWebPage\src\app\Components\Internal management\UnauthenticatedUser\user.component.scss                      | SCSS       |         22 |          1 |          5 |         28 |
